watershed,siteID,lat,lon,logger,port,serial,model,meas,unit,depth_cm,duplicate_depth,log_start,log_end,status,sensorID,pedon_sheet,notes
3,HBw3A,43.9620225,-71.721797,z6-19547,1,T21G20015020,TEROS 21,matric,kPa,15,,7/25/2023 13:00,,active,HBw3A_matric_15,,
3,HBw3A,43.9620225,-71.721797,z6-19547,2,T12-00112807,TEROS 12,vwc,m3/m3,15,,7/25/2023 13:00,,active,HBw3A_vwc_15,,
3,HBw3A,43.9620225,-71.721797,z6-19547,3,T21G20015021,TEROS 21,matric,kPa,50,,7/25/2023 13:00,,active,HBw3A_matric_50,,
3,HBw3A,43.9620225,-71.721797,z6-19547,4,T12-00111285,TEROS 12,vwc,m3/m3,50,a,7/25/2023 13:00,,active,HBw3A_vwc_50a,,
3,HBw3A,43.9620225,-71.721797,z6-19547,5,T12-00111145,TEROS 12,vwc,m3/m3,50,b,7/25/2023 13:00,,active,HBw3A_vwc_50b,,
3,HBw3A,43.9620225,-71.721797,z6-19547,6,T12-00112780,TEROS 12,vwc,m3/m3,85,,7/25/2023 13:00,,active,HBw3A_vwc_85,,
3,HBw3B,43.9615657,-71.7219199,z6-19520,1,T21G20014950,TEROS 21,matric,kPa,15,,7/24/2023 17:00,,active,HBw3B_matric_15,,
3,HBw3B,43.9615657,-71.7219199,z6-19520,2,T12-00111296,TEROS 12,vwc,m3/m3,15,,7/24/2023 17:00,,active,HBw3B_vwc_15,,
3,HBw3B,43.9615657,-71.7219199,z6-19520,3,T21G20015007,TEROS 21,matric,kPa,50,,7/24/2023 17:00,,active,HBw3B_matric_50,,
3,HBw3B,43.9615657,-71.7219199,z6-19520,4,T12-00111087,TEROS 12,vwc,m3/m3,50,a,7/24/2023 17:00,,active,HBw3B_vwc_50a,,
3,HBw3B,43.9615657,-71.7219199,z6-19520,5,T12-00111267,TEROS 12,vwc,m3/m3,50,b,7/24/2023 17:00,,active,HBw3B_vwc_50b,,
3,HBw3B,43.9615657,-71.7219199,z6-19520,6,T12-00111299,TEROS 12,vwc,m3/m3,90,,7/24/2023 17:00,,active,HBw3B_vwc_90,,
3,HBw3C,43.9565476,-71.7193931,z6-19526,1,T21G20006898,TEROS 21,matric,kPa,10,,7/25/2023 14:00,,active,HBw3C_matric_10,,
3,HBw3C,43.9565476,-71.7193931,z6-19526,2,T12-00111155,TEROS 12,vwc,m3/m3,10,,7/25/2023 14:00,,active,HBw3C_vwc_10,,
3,HBw3C,43.9565476,-71.7193931,z6-19526,3,T21G20007203,TEROS 21,matric,kPa,50,,7/25/2023 14:00,,active,HBw3C_matric_50,,
3,HBw3C,43.9565476,-71.7193931,z6-19526,4,T12-00111110,TEROS 12,vwc,m3/m3,50,a,7/25/2023 14:00,,active,HBw3C_vwc_50a,,
3,HBw3C,43.9565476,-71.7193931,z6-19526,5,T12-00111066,TEROS 12,vwc,m3/m3,50,b,7/25/2023 14:00,,active,HBw3C_vwc_50b,,
3,HBw3C,43.9565476,-71.7193931,z6-19526,6,T12-00111065,TEROS 12,vwc,m3/m3,90,,7/25/2023 14:00,,active,HBw3C_vwc_90,,
3,HBw3D,43.9556406,-71.7222249,z6-19516,1,T21G20015149,TEROS 21,matric,kPa,15,,7/24/2023 14:00,,active,HBw3D_matric_15,,
3,HBw3D,43.9556406,-71.7222249,z6-19516,2,T12-00111316,TEROS 12,vwc,m3/m3,15,,7/24/2023 14:00,,active,HBw3D_vwc_15,,
3,HBw3D,43.9556406,-71.7222249,z6-19516,3,T12-00111264,TEROS 12,vwc,m3/m3,50,a,7/24/2023 14:00,,active,HBw3D_vwc_50a,,
3,HBw3D,43.9556406,-71.7222249,z6-19516,4,T21G20014791,TEROS 21,matric,kPa,50,,7/24/2023 14:00,,active,HBw3D_matric_50,,
3,HBw3D,43.9556406,-71.7222249,z6-19516,5,T12-00111300,TEROS 12,vwc,m3/m3,50,b,7/24/2023 14:00,,active,HBw3D_vwc_50b,,
3,HBw3D,43.9556406,-71.7222249,z6-19516,6,T12-00111147,TEROS 12,vwc,m3/m3,87,,7/24/2023 14:00,,active,HBw3D_vwc_87,,
6,HBw6A,43.957303,-71.7396983,z6-19506,1,T21G20015189,TEROS 21,matric,kPa,15,a,7/25/2023 17:00,,active,HBw6A_matric_15a,,
6,HBw6A,43.957303,-71.7396983,z6-19506,2,T21G20014974,TEROS 21,matric,kPa,15,b,7/25/2023 17:00,,active,HBw6A_matric_15b,,
6,HBw6A,43.957303,-71.7396983,z6-19506,3,T12-00112801,TEROS 12,vwc,m3/m3,15,a,7/25/2023 17:00,,active,HBw6A_vwc_15a,,
6,HBw6A,43.957303,-71.7396983,z6-19506,4,T12-00112800,TEROS 12,vwc,m3/m3,15,b,7/25/2023 17:00,,active,HBw6A_vwc_15b,,
6,HBw6A,43.957303,-71.7396983,z6-19506,5,T12-00112789,TEROS 12,vwc,m3/m3,15,c,7/25/2023 17:00,,active,HBw6A_vwc_15c,,
6,HBw6A,43.957303,-71.7396983,z6-19506,6,T12-00112772,TEROS 12,vwc,m3/m3,15,d,7/25/2023 17:00,,active,HBw6A_vwc_15d,,
6,HBw6B,43.9554681,-71.7425639,z6-19522,1,T12-00098118,TEROS 12,vwc,m3/m3,15,,7/25/2023 18:00,,active,HBw6B_vwc_15,,
6,HBw6B,43.9554681,-71.7425639,z6-19522,2,T21G20007027,TEROS 21,matric,kPa,15,,7/25/2023 18:00,,active,HBw6B_matric_15,,
6,HBw6B,43.9554681,-71.7425639,z6-19522,3,T12-00098059,TEROS 12,vwc,m3/m3,50,a,7/25/2023 18:00,,active,HBw6B_vwc_50a,,
6,HBw6B,43.9554681,-71.7425639,z6-19522,4,T21G20015008,TEROS 21,matric,kPa,50,,7/25/2023 18:00,,active,HBw6B_matric_50,,
6,HBw6B,43.9554681,-71.7425639,z6-19522,5,T12-00098078,TEROS 12,vwc,m3/m3,50,b,7/25/2023 18:00,,active,HBw6B_vwc_50b,,
6,HBw6B,43.9554681,-71.7425639,z6-19522,6,T12-00111119,TEROS 12,vwc,m3/m3,75,,7/25/2023 18:00,,active,HBw6B_vwc_75,,
6,HBw6C,43.9532797,-71.7404386,z6-19536,1,T21G20014860,TEROS 21,matric,kPa,17,,7/26/2023 17:00,,active,HBw6C_matric_17,,
6,HBw6C,43.9532797,-71.7404386,z6-19536,2,T12-00112792,TEROS 12,vwc,m3/m3,17,,7/26/2023 17:00,,active,HBw6C_vwc_17,,
6,HBw6C,43.9532797,-71.7404386,z6-19536,3,T12-00112822,TEROS 12,vwc,m3/m3,30,,7/26/2023 17:00,,active,HBw6C_vwc_30,,
6,HBw6C,43.9532797,-71.7404386,z6-19536,4,T12-00111183,TEROS 12,vwc,m3/m3,50,a,7/26/2023 17:00,,active,HBw6C_vwc_50a,,
6,HBw6C,43.9532797,-71.7404386,z6-19536,5,T12-00112781,TEROS 12,vwc,m3/m3,50,b,7/26/2023 17:00,,active,HBw6C_vwc_50b,,
6,HBw6C,43.9532797,-71.7404386,z6-19536,6,T21G20014909,TEROS 21,matric,kPa,50,,7/26/2023 17:00,,active,HBw6C_matric_50,,
6,HBw6D,43.9507345,-71.7385267,z6-19507,1,T12-00112823,TEROS 12,vwc,m3/m3,19,,7/27/2023 10:00,,active,HBw6D_vwc_19,,
6,HBw6D,43.9507345,-71.7385267,z6-19507,2,T21G20014858,TEROS 21,matric,kPa,19,,7/27/2023 10:00,,active,HBw6D_matric_19,,
6,HBw6D,43.9507345,-71.7385267,z6-19507,3,T21G20014846,TEROS 21,matric,kPa,50,,7/27/2023 10:00,,active,HBw6D_matric_50,,
6,HBw6D,43.9507345,-71.7385267,z6-19507,4,T12-00112752,TEROS 12,vwc,m3/m3,50,a,7/27/2023 10:00,,active,HBw6D_vwc_50a,,
6,HBw6D,43.9507345,-71.7385267,z6-19507,5,T12-00112808,TEROS 12,vwc,m3/m3,50,b,7/27/2023 10:00,,active,HBw6D_vwc_50b,,
6,HBw6D,43.9507345,-71.7385267,z6-19507,6,T12-00113237,TEROS 12,vwc,m3/m3,81,,7/27/2023 10:00,,active,HBw6D_vwc_81,,
9,HBw9A,43.9233738,-71.7449267,z6-19523,1,T12-00111380,TEROS 12,vwc,m3/m3,15,,7/26/2023 14:00,,active,HBw9A_vwc_15,,
9,HBw9A,43.9233738,-71.7449267,z6-19523,2,T21G20007050,TEROS 21,matric,kPa,15,,7/26/2023 14:00,,active,HBw9A_matric_15,,
9,HBw9A,43.9233738,-71.7449267,z6-19523,3,T12-00111435,TEROS 12,vwc,m3/m3,30,,7/26/2023 14:00,,active,HBw9A_vwc_30,,
9,HBw9A,43.9233738,-71.7449267,z6-19523,4,T12-00111321,TEROS 12,vwc,m3/m3,45,,7/26/2023 14:00,,active,HBw9A_vwc_45,,
9,HBw9A,43.9233738,-71.7449267,z6-19523,5,T21G20006528,TEROS 21,matric,kPa,46,,7/26/2023 14:00,,active,HBw9A_matric_46,,
9,HBw9B,43.9237166,-71.7450577,z6-19543,1,T12-00112793,TEROS 12,vwc,m3/m3,20,,7/26/2023 13:00,,active,HBw9B_vwc_20,,
9,HBw9B,43.9237166,-71.7450577,z6-19543,2,T21G20013623,TEROS 21,matric,kPa,20,,7/26/2023 13:00,,active,HBw9B_matric_20,,
9,HBw9B,43.9237166,-71.7450577,z6-19543,3,T12-00111093,TEROS 12,vwc,m3/m3,50,a,7/26/2023 13:00,,active,HBw9B_vwc_50a,,
9,HBw9B,43.9237166,-71.7450577,z6-19543,4,T12-00111432,TEROS 12,vwc,m3/m3,50,,7/26/2023 13:00,,active,HBw9B_vwc_50,,
9,HBw9B,43.9237166,-71.7450577,z6-19543,5,T21G20014226,TEROS 21,matric,kPa,50,b,7/26/2023 13:00,,active,HBw9B_matric_50b,,
9,HBw9B,43.9237166,-71.7450577,z6-19543,6,T12-00112756,TEROS 12,vwc,m3/m3,90,,7/26/2023 13:00,,active,HBw9B_vwc_90,,
9,HBw9C,43.9241134,-71.7455928,z6-19515,1,T21G20007069,TEROS 21,matric,kPa,15,,7/26/2023 13:00,,active,HBw9C_matric_15,,
9,HBw9C,43.9241134,-71.7455928,z6-19515,2,T12-00111277,TEROS 12,vwc,m3/m3,15,,7/26/2023 13:00,,active,HBw9C_vwc_15,,
9,HBw9C,43.9241134,-71.7455928,z6-19515,3,T12-00111318,TEROS 12,vwc,m3/m3,50,a,7/26/2023 13:00,,active,HBw9C_vwc_50a,,
9,HBw9C,43.9241134,-71.7455928,z6-19515,4,T12-00111287,TEROS 12,vwc,m3/m3,50,b,7/26/2023 13:00,,active,HBw9C_vwc_50b,,
9,HBw9C,43.9241134,-71.7455928,z6-19515,5,T21G20007208,TEROS 21,matric,kPa,50,,7/26/2023 13:00,,active,HBw9C_matric_50,,
9,HBw9C,43.9241134,-71.7455928,z6-19515,6,T12-00111165,TEROS 12,vwc,m3/m3,70,,7/26/2023 13:00,,active,HBw9C_vwc_70,,
9,HBw9D,43.9250034,-71.7471865,z6-19524,1,T21G20014748,TEROS 21,matric,kPa,15,,7/26/2023 16:00,,active,HBw9D_matric_15,,
9,HBw9D,43.9250034,-71.7471865,z6-19524,2,T12-00111274,TEROS 12,vwc,m3/m3,15,,7/26/2023 16:00,,active,HBw9D_vwc_15,,
9,HBw9D,43.9250034,-71.7471865,z6-19524,3,T12-00111394,TEROS 12,vwc,m3/m3,50,a,7/26/2023 16:00,,active,HBw9D_vwc_50a,,
9,HBw9D,43.9250034,-71.7471865,z6-19524,4,T12-00112790,TEROS 12,vwc,m3/m3,50,b,7/26/2023 16:00,,active,HBw9D_vwc_50b,,
9,HBw9D,43.9250034,-71.7471865,z6-19524,5,T21G20013423,TEROS 21,matric,kPa,50,,7/26/2023 16:00,,active,HBw9D_matric_50,,
9,HBw9D,43.9250034,-71.7471865,z6-19524,6,T12-00113236,TEROS 12,vwc,m3/m3,60,,7/26/2023 16:00,,active,HBw9D_vwc_60,,
